model,downloads,gated,license,created,sec_bias_risk_limit,sec_intended_use,sec_safety,sec_training_data,sec_evaluation,card_wordcount
Qwen/Qwen3-0.6B,20685071,False,apache-2.0,2025-04-27,0,1,0,0,0,1576
trl-internal-testing/tiny-Qwen2ForCausalLM-2.5,17924207,False,,2024-11-25,0,0,0,0,0,16
openai-community/gpt2,15074191,False,mit,2022-03-02,1,1,0,1,1,1133
Qwen/Qwen3-8B,12880447,False,apache-2.0,2025-04-27,0,1,0,0,0,1917
unsloth/Qwen3-Coder-30B-A3B-Instruct-GGUF,12853002,False,apache-2.0,2025-07-31,0,0,0,0,0,758
Qwen/Qwen2.5-7B-Instruct,10059299,False,apache-2.0,2024-09-16,0,0,0,0,1,774
nvidia/Qwen3.6-35B-A3B-NVFP4,9828497,False,apache-2.0,2026-05-27,1,1,0,1,1,1118
facebook/opt-125m,8346527,False,other,2022-05-11,1,1,0,1,0,1009
Qwen/Qwen3-Embedding-0.6B,7972644,False,apache-2.0,2025-06-03,0,1,0,0,1,2173
Qwen/Qwen2.5-1.5B-Instruct,7268416,False,apache-2.0,2024-09-17,0,0,0,0,1,624
farbodtavakkoli/OTel-2.0-LLM-31B-IT,7246115,False,apache-2.0,2026-07-23,1,1,1,1,1,5423
Qwen/Qwen2.5-0.5B-Instruct,7225322,False,apache-2.0,2024-09-16,0,0,0,0,1,624
openai/gpt-oss-20b,6599829,False,apache-2.0,2025-08-04,0,1,0,0,0,784
meta-llama/Llama-3.2-1B-Instruct,6258911,manual,llama3.2,2024-09-18T15:12:47.000Z,0,0,0,0,0,0
Qwen/Qwen3-4B,6222186,False,apache-2.0,2025-04-27,0,1,0,0,0,1943
meta-llama/Llama-3.1-8B-Instruct,5620096,manual,llama3.1,2024-07-18T08:56:00.000Z,0,0,0,0,0,0
openai/gpt-oss-120b,5463732,False,apache-2.0,2025-08-04,0,1,0,0,0,785
Qwen/Qwen2.5-3B-Instruct,5415262,False,other,2024-09-17,0,0,0,0,1,624
Qwen/Qwen3-32B,5273218,False,apache-2.0,2025-04-27,0,1,0,0,0,1917
dphn/dolphin-2.9.1-yi-1.5-34b,4809337,False,apache-2.0,2024-05-18,1,1,0,1,1,757
deepseek-ai/DeepSeek-V4-Flash-0731,4397122,False,mit,2026-07-31,0,0,0,0,0,780
ornith-ai/Ornith-1.5-9B-GGUF,4238715,False,mit,2026-08-19,0,0,0,0,1,2339
ornith-ai/Ornith-1.0-9B-GGUF,3847352,False,mit,2026-06-25,0,0,0,0,1,1946
Qwen/Qwen-72B,3790415,False,other,2023-11-26,0,1,0,0,1,1661
ornith-ai/Ornith-1.5-35B-A3B-GGUF,3702705,False,mit,2026-08-18,0,0,0,0,1,2599
Qwen/Qwen3-4B-Instruct-2507,3579530,False,apache-2.0,2025-08-05,0,1,0,0,0,1073
Qwen/Qwen2.5-7B-Instruct-AWQ,3579323,False,apache-2.0,2024-09-17,0,0,0,0,1,792
Qwen/Qwen3-1.7B,3464727,False,apache-2.0,2025-04-27,0,1,0,0,0,1576
nvidia/NVIDIA-Nemotron-3-Nano-4B-BF16,3451595,False,other,2026-03-07,0,1,0,1,1,4339
EleutherAI/pythia-160m,3400230,False,apache-2.0,2023-02-08,1,1,0,1,1,1731
JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,2883270,False,apache-2.0,2026-08-14,1,0,0,0,0,3800
google/gemma-3-1b-it,2682506,manual,gemma,2025-03-10T12:09:00.000Z,0,0,0,0,0,0
Qwen/Qwen2.5-Coder-7B-Instruct,2673411,False,apache-2.0,2024-09-17,0,0,0,0,1,779
RadixArk/Kimi-K3-DSpark,2627997,False,,2026-07-27,0,0,0,0,1,514
Qwen/Qwen2.5-14B-Instruct,2617681,False,apache-2.0,2024-09-16,0,0,0,0,1,761
Qwen/Qwen3-Reranker-4B,2563924,False,apache-2.0,2025-06-03,0,0,0,0,1,1634
ornith-ai/Ornith-1.0-35B,2519248,False,mit,2026-06-21,0,0,0,0,1,1914
ornith-ai/Ornith-1.0-35B-GGUF,2453103,False,mit,2026-06-25,0,0,0,0,1,1914
Qwen/Qwen3-Embedding-4B,2419041,False,apache-2.0,2025-06-03,0,1,0,0,1,2173
HuggingFaceTB/SmolLM2-135M,2403022,False,apache-2.0,2024-10-31,1,1,0,0,1,668
Qwen/Qwen3-14B-AWQ,2390790,False,apache-2.0,2025-05-01,0,1,0,0,0,1977
Qwen/Qwen3-Embedding-8B,2326476,False,apache-2.0,2025-06-03,0,1,0,0,1,2170
Qwen/Qwen2.5-32B-Instruct,2209951,False,apache-2.0,2024-09-17,0,0,0,0,1,761
antirez/deepseek-v4-gguf,2184098,False,mit,2026-04-26,0,0,0,0,0,441
Qwen/Qwen2.5-14B-Instruct-AWQ,2089606,False,apache-2.0,2024-09-17,0,0,0,0,1,792
distilbert/distilgpt2,2028032,False,apache-2.0,2022-03-02,1,1,0,1,1,1322
Qwen/Qwen3-30B-A3B,1978313,False,apache-2.0,2025-04-27,0,1,0,0,0,1933
Qwen/Qwen3-4B-Base,1950629,False,apache-2.0,2025-04-28,0,0,0,0,1,364
zai-org/GLM-4.7-Flash,1890101,False,mit,2026-01-19,0,0,0,0,1,1042
trl-internal-testing/tiny-Qwen3ForCausalLM,1888326,False,,2025-05-05,0,0,0,0,0,16
Qwen/Qwen2.5-Coder-14B-Instruct,1887802,False,apache-2.0,2024-11-06,0,0,0,0,1,779
Qwen/Qwen3-1.7B-Base,1876724,False,apache-2.0,2025-04-28,0,0,0,0,1,364
nvidia/Gemma-4-26B-A4B-NVFP4,1850407,False,apache-2.0,2026-05-01,1,1,0,1,1,1196
0bserverx/Qwen3.8-27B-Heretic-Abliterated-Uncensored-GGUF,1832559,False,apache-2.0,2026-08-14,1,1,1,0,1,4707
deepseek-ai/DeepSeek-V4-Flash,1783023,False,mit,2026-04-22,0,0,0,0,1,2095
deepseek-ai/DeepSeek-V3.2,1732352,False,mit,2025-12-01,0,0,0,0,0,726
Qwen/Qwen3-14B,1692953,False,apache-2.0,2025-04-27,0,1,0,0,0,1917
Qwen/Qwen3-Coder-Next-FP8,1691503,False,apache-2.0,2026-02-01,0,0,0,0,0,924
Qwen/Qwen2.5-0.5B,1662311,False,apache-2.0,2024-09-15,0,0,0,0,1,532
vikhyatk/moondream2,1655437,False,apache-2.0,2024-03-04,0,0,0,0,0,500
