dimension,value,count
pipeline_task,text-generation,233
pipeline_task,image-text-to-text,157
pipeline_task,unspecified,111
pipeline_task,automatic-speech-recognition,81
pipeline_task,sentence-similarity,62
pipeline_task,feature-extraction,48
pipeline_task,fill-mask,39
pipeline_task,text-classification,32
pipeline_task,image-classification,24
pipeline_task,zero-shot-image-classification,23
pipeline_task,any-to-any,22
pipeline_task,time-series-forecasting,21
pipeline_task,text-ranking,16
pipeline_task,text-to-speech,14
pipeline_task,image-feature-extraction,13
pipeline_task,token-classification,12
pipeline_task,text-to-image,12
pipeline_task,translation,9
pipeline_task,image-to-text,8
pipeline_task,zero-shot-classification,6
pipeline_task,object-detection,6
pipeline_task,audio-classification,5
pipeline_task,image-to-video,5
pipeline_task,image-segmentation,5
pipeline_task,image-to-3d,4
pipeline_task,mask-generation,3
pipeline_task,depth-estimation,3
pipeline_task,zero-shot-object-detection,3
pipeline_task,image-to-image,3
pipeline_task,voice-activity-detection,2
pipeline_task,text-to-audio,2
pipeline_task,summarization,2
pipeline_task,audio-to-audio,2
pipeline_task,audio-text-to-text,2
pipeline_task,question-answering,2
pipeline_task,keypoint-detection,1
pipeline_task,table-question-answering,1
pipeline_task,image-text-to-video,1
pipeline_task,visual-document-retrieval,1
pipeline_task,visual-question-answering,1
pipeline_task,video-classification,1
pipeline_task,tabular-regression,1
pipeline_task,text-to-video,1
license,apache-2.0,518
license,mit,185
license,other,92
license,gemma,16
license,cc-by-nc-4.0,16
license,cc-by-4.0,15
license,llama3.2,7
license,llama3.1,7
license,cc-by-nc-sa-4.0,7
license,creativeml-openrail-m,5
license,bsd-3-clause,5
license,llama2,4
license,llama3,4
license,cc-by-sa-4.0,4
license,apple-amlr,3
license,openrail,2
license,agpl-3.0,2
license,bigscience-bloom-rail-1.0,2
license,llama3.3,2
license,gpl-3.0,2
license,cdla-permissive-2.0,1
license,openrail++,1
license,cc0-1.0,1
license,openmdw-1.1,1
author,Qwen,117
author,google,44
author,nvidia,37
author,microsoft,36
author,facebook,35
author,unsloth,25
author,deepseek-ai,21
author,sentence-transformers,18
author,timm,18
author,lmstudio-community,18
author,meta-llama,15
author,BAAI,13
author,openai,13
author,RedHatAI,13
author,jonatasgrosman,11
author,cyankiwi,11
author,Comfy-Org,10
author,intfloat,9
author,mistralai,9
author,cross-encoder,8
