case_id,case_name,year,domain,jurisdiction,access_level,outcome,plaintiff_type,representation,outcome_type,algorithm_type,notes,legal_citation,docket_number,primary_source_url,secondary_source_url,verification_status,last_verified
EMP-01,EEOC v. iTutorGroup,2023,Employment,US-Federal,Full,Achieved,federal_agency,government,monetary,rule_based,Age discrimination in hiring algorithm; $365K settlement,EEOC v. iTutorGroup Inc.,1:22-cv-02565 (E.D.N.Y.),https://www.eeoc.gov/newsroom/itutorgroup-pay-365000-settle-eeoc-discriminatory-hiring-suit,https://www.workforcebulletin.com/assets/htmldocuments/blog/8/2023/08/2023.08.09-EEOC-v.-iTutorGroup-Joint-Notice-of-Settlement-22-cv-02565-PKC-PK.pdf,Verified,2025-01-27
EMP-02,Mobley v. Workday,2025,Employment,US-Federal,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,Disparate impact challenge to AI hiring platform; NATIONWIDE COLLECTIVE ACTION certified May 2025 under ADEA; potentially millions of applicants over 40; discovery into algorithms and training data authorized,Mobley v. Workday Inc.,3:23-cv-00770 (N.D. Cal.),https://dockets.justia.com/docket/california/candce/3:2023cv00770/406941,https://www.reuters.com/legal/litigation/workday-must-face-novel-bias-claims-over-ai-screening-tools-2024-07-12/,Verified,2025-12-27
EMP-03,Harper v. Sirius XM,2025,Employment,US-Federal,None,Ongoing,private_class,private_counsel,pending,machine_learning,AI screening race discrimination claims; iCIMS system challenged,Harper v. Sirius XM Radio LLC,2:25-cv-12403 (E.D. Mich.),https://www.law360.com/cases/68935b69cc50f137a91a55e1/dockets,https://www.fisherphillips.com/en/news-insights/another-employer-faces-ai-hiring-bias-lawsuit.html,Verified,2025-01-27
EMP-04,ACLU v. Intuit/HireVue,2025,Employment,US-Federal,None,Ongoing,nonprofit,public_interest,pending,machine_learning,Deaf and Indigenous applicant discrimination; EEOC and Colorado Civil Rights Division complaint,EEOC/CCRD Charge,EEOC Charge 2025,https://www.aclu.org/press-releases/aclu-files-federal-complaint-against-hirevue-intuit-discrimination,https://assets.aclu.org/live/uploads/2025/03/Redacted-HireVue_Intuit-Complaint-of-Discrimination_Redacted.pdf,Verified,2025-01-27
EMP-05,CVS/HireVue Massachusetts,2024,Employment,US-MA,Partial,Achieved,state_AG,government,policy_change,machine_learning,Lie detector law settlement for AI video interviews,MA AG Settlement,MA AG 2024,https://www.mass.gov/news/ag-campbell-announces-settlement-with-cvs-health-over-use-of-ai-powered-job-screening-tool,,Verified,2025-01-27
EMP-06,Deyerler v. HireVue,2022,Employment,US-IL,Partial,Ongoing,private_class,private_counsel,pending,machine_learning,Illinois BIPA biometric claims; most claims survived motion to dismiss Feb 2024,Deyerler v. HireVue Inc.,1:22-cv-01284 (N.D. Ill.),https://dockets.justia.com/docket/illinois/ilndce/1:2022cv01284/413187,https://www.workforcebulletin.com/deyerler-v-hirevue-expands-biometric-privacy-law-to-ai-video-interview-platform,Verified,2025-01-27
EMP-07,Amazon Hiring Tool (Internal),2018,Employment,US-Federal,Full,Achieved,internal,internal,system_discontinued,machine_learning,Internal audit revealed gender bias; system discontinued,,Internal Review,https://www.reuters.com/article/us-amazon-com-jobs-automation-insight-idUSKCN1MK08G/,,Verified,2025-01-27
EMP-08,Amazon Flex Terminations,2023,Employment,US-Federal,None,Ongoing,individual,private_counsel,pending,machine_learning,Algorithmic deactivation of delivery drivers; mass arbitration ongoing,,Mass Arbitration,https://www.classlawgroup.com/amazon-flex-lawsuit,https://www.nelp.org/insights-research/delivering-precarity-how-amazon-flex-harms-workers-and-what-to-do-about-it/,Verified,2025-01-27
EMP-09,Instacart Tip-Baiting,2020,Employment,US-CA,Partial,Achieved,private_class,private_counsel,monetary,rule_based,$4.6M settlement for tip allocation algorithm,,CA Settlement,https://www.classaction.org/instacart-tip-theft-lawsuit,,Verified,2025-01-27
EMP-10,Uber Driver Deactivation,2021,Employment,US-Federal,None,Denied,individual,private_counsel,none,machine_learning,Arbitration enforced per FAA; no algorithmic discovery,O'Connor v. Uber Techs. Inc.,3:13-cv-03826 (N.D. Cal.),https://www.uberlitigation.com/,https://rideshare-attorneys.com/sue-uber-lyft-arbitrate-deactivation/,Verified,2025-01-27
